"play","value"
"Matthijs de Ligt","€65.00m"
"Dayot Upamecano","€45.00m"
"Min-jae Kim","€45.00m"
"Eric Dier","€12.00m"
"Tarek Buchmann","€500k"
"Alphonso Davies","€50.00m"
"Raphaël Guerreiro","€12.00m"
"Joshua Kimmich","€50.00m"
"Noussair Mazraoui","€30.00m"
"Sacha Boey","€18.00m"
"Bouna Sarr","€1.50m"
"Aleksandar Pavlovic","€30.00m"
"Leon Goretzka","€30.00m"
"Konrad Laimer","€30.00m"
"Jamal Musiala","€120.00m"
"Lovro Zvonarek","€3.00m"
"Kingsley Coman","€50.00m"
"Mathys Tel","€40.00m"
"Bryan Zaragoza","€12.00m"
"Leroy Sané","€70.00m"
"Serge Gnabry","€40.00m"
"Thomas Müller","€8.00m"
"Harry Kane","€100.00m"
"Eric-Maxim Choupo-Moting","€2.50m"
"Matej Kovar","€7.00m"
"Lukas Hradecky","€2.50m"
"Niklas Lomb","€250k"
"Edmond Tapsoba","€45.00m"
"Piero Hincapié","€40.00m"
"Odilon Kossounou","€35.00m"
"Jonathan Tah","€30.00m"
"Josip Stanisic","€28.00m"
"Alejandro Grimaldo","€45.00m"
"Arthur","€5.00m"
"Timothy Fosu-Mensah","€800k"
"Granit Xhaka","€20.00m"
"Robert Andrich","€17.00m"
"Noah Mbamba","€2.50m"
"Exequiel Palacios","€45.00m"
"Gustavo Puerta","€3.00m"
"Jeremie Frimpong","€50.00m"
"Florian Wirtz","€130.00m"
"Jonas Hofmann","€10.00m"
"Ayman Aourir","€300k"
"Amine Adli","€30.00m"
"Nathan Tella","€23.00m"
"Adam Hlozek","€12.00m"
"Victor Boniface","€40.00m"
"Patrik Schick","€22.00m"
"Borja Iglesias","€5.00m"
"Péter Gulácsi","€3.00m"
"Janis Blaswich","€2.00m"
"Timo Schlieck","€500k"
"Leopold Zingerle","€400k"
"Castello Lukeba","€40.00m"
"Mohamed Simakan","€35.00m"
"El Chadaille Bitshiabu","€12.00m"
"Willi Orbán","€10.00m"
"Lukas Klostermann","€8.00m"
"David Raum","€20.00m"
